Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
109,118,0,0,80,54,88,85
89,0,0,0,88,54,89,84
90,0,0,0,87,54,89,86
89,0,0,0,86,54,89,86
90,0,0,0,84,77,88,93
87,0,0,0,86,69,87,111
102,103,0,0,87,81,88,126
84,0,0,0,96,63,72,125
94,0,0,0,90,79,89,131
82,109,0,0,0,73,88,132
110,0,0,0,89,39,88,132
114,0,0,0,0,52,89,133
74,0,0,0,0,40,88,131
84,125,0,0,111,52,88,133
64,0,0,0,90,0,86,132
94,0,0,0,0,120,80,132
86,107,0,0,105,42,86,138
116,0,0,0,89,65,80,139
105,108,116,0,0,61,89,138
79,98,0,0,0,51,88,136
44,98,0,0,89,39,88,139
59,0,0,0,107,41,88,140
78,159,277,0,0,36,88,139
81,225,219,0,95,45,88,138
100,174,169,0,88,60,53,135
93,105,0,0,105,99,11,136
117,0,0,0,183,94,14,135
126,0,0,0,0,101,43,137
126,0,0,0,0,108,91,137
0,0,0,0,0,103,120,136
0,0,0,0,97,105,113,133
0,0,0,0,0,0,89,132
0,0,0,0,86,0,104,135
0,0,0,0,0,0,106,136
0,0,0,0,0,0,90,136
0,0,0,0,0,0,90,134
0,0,0,0,0,0,89,138
0,0,0,0,0,0,91,141
0,0,0,0,0,0,88,140
0,0,0,0,0,0,91,140
0,0,0,0,0,0,80,141
0,0,0,0,0,0,80,140
0,168,178,0,0,0,80,139
109,123,118,0,0,0,30,139
54,105,0,0,86,107,71,139
37,34,103,0,91,28,91,137
34,86,45,0,91,9,91,139
24,0,0,0,66,20,48,138
115,0,0,0,89,59,99,135
198,50,0,0,88,70,105,137
149,141,0,0,85,102,89,133
0,0,0,0,93,90,123,136
0,0,0,0,0,116,90,133
182,0,0,0,0,122,88,134
0,0,0,0,88,142,37,137
0,0,0,0,84,0,3,137
0,0,0,0,0,0,7,136
0,0,0,0,247,0,15,137
0,0,0,0,102,0,53,136
0,0,0,0,0,0,123,135
0,0,0,0,0,0,89,140
0,0,0,0,0,0,91,143
0,0,0,0,0,0,90,143
0,0,0,0,0,0,91,144
0,0,0,0,0,130,91,144
114,0,0,0,116,0,91,142
0,0,0,0,0,0,91,145
0,0,0,0,0,0,89,144
182,0,0,0,0,0,89,144
80,0,0,0,88,0,88,144
84,0,0,0,0,0,91,140
99,0,0,0,85,57,91,142
66,122,0,0,90,55,89,144
99,0,0,0,167,46,89,142
103,119,0,0,90,46,88,142
78,0,0,0,0,69,86,140
82,110,0,0,87,60,88,141
61,109,0,0,0,77,80,142
70,138,0,0,0,45,88,142
95,0,0,0,93,47,88,142
111,0,0,0,88,54,74,142
0,180,0,0,86,89,13,144
145,0,0,0,92,156,11,142
122,124,0,297,133,122,12,140
127,0,0,0,97,114,19,142
0,0,0,0,0,122,53,143
0,0,0,0,0,119,108,142
0,0,0,0,0,120,88,141
0,0,0,0,0,133,89,142
0,0,0,0,0,0,116,141
0,0,0,0,0,0,99,142
0,0,0,0,0,0,91,144
0,0,0,0,0,0,88,142
0,0,0,0,0,0,89,142
0,0,0,0,0,0,89,143
0,0,0,0,94,0,88,143
0,0,0,0,93,0,70,142
0,0,0,0,0,0,65,142
0,0,0,0,0,0,65,142
0,203,0,0,0,0,23,142
100,143,0,0,90,109,43,140
99,0,0,0,0,89,86,140
79,126,0,0,0,75,90,139
69,110,0,0,0,60,68,143
99,178,0,0,91,72,29,142
138,132,0,0,110,96,26,139
95,0,0,0,90,114,11,142
91,0,0,0,90,77,19,143
0,0,0,0,0,89,114,142
0,0,0,0,102,95,169,143
0,0,0,0,94,105,90,140
179,0,0,0,0,121,91,139
0,0,0,0,92,0,93,141
0,0,0,0,0,0,91,142
0,0,0,0,0,0,88,142
0,0,0,0,0,0,88,144
0,0,0,0,0,119,89,147
0,0,0,0,0,0,91,147
0,0,0,0,0,0,89,146
0,0,0,0,0,0,89,144
206,0,0,0,0,0,91,144
115,145,168,0,0,0,88,141
109,105,97,0,84,68,41,141
101,0,0,0,88,42,88,142
141,0,0,0,44,52,101,142
74,0,0,0,96,59,91,142
97,0,0,0,118,0,89,142
161,157,0,0,87,59,91,142
97,120,0,0,0,71,86,141
74,99,0,0,94,72,83,142
70,108,128,0,0,49,88,142
62,105,0,0,136,37,88,140
55,0,0,0,91,53,89,142
94,218,213,0,88,47,70,143
106,165,165,0,84,60,22,141
127,147,0,0,105,123,19,142
98,118,0,0,95,101,20,143
106,0,0,0,0,86,43,139
102,0,0,0,98,80,54,142
102,0,0,0,0,72,89,142
0,0,0,0,0,76,88,141
0,0,0,0,0,0,88,143
0,0,0,0,0,0,86,143
0,0,0,0,0,0,88,143
0,0,0,0,0,0,88,143
0,0,0,0,107,0,88,143
0,0,0,0,105,0,89,142
0,0,0,0,91,0,89,141
0,0,0,0,0,0,89,142
0,0,0,0,0,0,87,142
0,0,0,0,0,0,72,142
0,0,0,0,85,0,55,142
196,56,0,0,0,0,40,142
153,158,0,0,0,0,33,142
103,99,0,0,94,119,6,142
86,140,0,0,0,87,4,140
102,0,0,0,0,83,3,142
0,0,0,0,0,123,121,139
0,0,0,0,0,124,110,140
0,0,0,0,0,133,133,141
182,173,197,0,0,137,124,140
156,114,116,0,0,130,46,139
85,0,0,0,96,65,29,142
0,0,0,0,86,67,138,142
0,0,0,0,104,78,124,139
0,0,0,0,0,108,76,142
0,0,0,0,0,138,35,142
0,0,0,0,0,0,15,140
0,0,0,0,99,0,18,142
0,0,0,0,280,0,86,143
0,0,0,0,0,0,88,143
0,0,0,0,0,0,89,141
0,0,0,0,0,0,89,143
0,0,0,0,0,0,88,144
0,0,0,0,0,0,89,140
0,0,0,0,0,0,88,141
0,0,0,0,0,0,88,142
0,0,0,0,0,0,88,143
0,0,0,0,0,0,87,142
0,198,200,0,0,0,51,142
128,146,135,0,0,106,31,141
73,103,103,0,90,110,18,142
67,68,0,0,0,47,25,142
124,0,0,0,53,57,72,142
102,0,0,0,84,74,86,141
0,0,0,0,90,63,108,141
97,0,0,0,0,66,89,139
91,134,101,196,0,63,89,140
63,126,0,0,89,85,91,141
74,0,0,0,117,58,75,139
133,282,0,0,88,74,61,140
108,226,0,0,88,77,84,142
182,171,0,0,115,105,16,142
140,137,0,0,139,128,3,141
119,171,0,0,200,111,23,141
126,0,0,0,0,97,82,142
86,0,0,0,0,78,66,141
0,0,0,0,0,67,88,139
0,0,0,0,0,66,87,141
0,0,0,0,0,0,87,142
0,0,0,0,0,0,86,141
0,0,0,0,0,0,86,141
109,0,0,0,0,0,89,142
0,0,0,0,91,0,88,142
0,0,0,0,0,0,88,144
0,0,0,0,0,0,88,144
0,0,0,0,89,0,88,144
0,0,0,0,0,0,82,144
0,0,0,0,0,0,82,144
0,240,0,0,0,0,76,144
0,152,157,0,0,0,67,144
47,0,0,0,86,52,91,143
43,23,0,0,87,30,89,142
70,0,0,0,86,38,41,142
100,0,0,0,88,60,110,144
102,0,0,0,95,57,91,142
118,0,0,0,102,61,91,142
133,176,0,0,80,81,91,142
0,0,0,0,213,113,94,143
0,0,0,0,0,101,173,142
0,0,0,0,94,102,176,140
0,0,0,0,0,102,158,142
0,0,0,0,0,106,90,140
194,0,0,0,0,108,90,140
123,0,0,0,0,114,90,141
0,0,0,0,0,126,14,142
0,0,0,0,260,0,24,141
0,0,0,0,93,0,88,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,89,142
0,0,0,0,0,0,88,141
0,0,0,0,0,0,89,141
0,0,0,0,0,0,88,142
0,0,0,0,0,131,86,142
0,0,0,0,0,0,88,141
0,0,0,0,0,0,89,143
0,0,0,0,0,0,88,144
163,156,150,0,0,0,88,142
73,0,0,0,272,68,26,140
66,0,0,0,0,70,88,145
100,135,0,0,0,63,87,147
122,0,0,0,0,0,87,149
107,0,0,0,0,56,88,149
102,0,0,0,0,71,89,149
100,102,0,0,0,48,86,149
88,0,0,0,0,54,87,148
104,254,243,0,0,63,76,146
107,182,0,0,81,104,17,145
145,0,0,0,229,109,29,146
0,0,0,0,92,95,98,148
0,0,0,0,0,0,91,147
0,0,0,168,0,0,88,148
0,0,0,0,0,0,88,148
0,0,0,0,0,0,89,147
0,0,0,0,0,0,88,147
0,0,0,0,0,0,89,147
0,0,0,0,0,0,81,147
0,0,0,0,0,0,32,147
210,221,0,0,0,0,18,147
